date,product_id,product_name,quantity_sold
2022-01-25,PROD_006,Paracetamol 500mg,193
2022-01-25,PROD_007,Aspirine 500mg,82
2022-01-25,PROD_008,Strepsils Miel Citron,132
2022-01-25,PROD_009,Humex Rhume,187
2022-01-25,PROD_010,Actifed Rhume,107
2022-01-26,PROD_001,Efferalgan 1000mg,93
2022-01-26,PROD_002,Doliprane 1000mg,124
2022-01-26,PROD_003,Spasfon Lyoc 80mg,159
2022-01-26,PROD_004,Smecta 3g,167
2022-01-26,PROD_005,Ibuprofene 400mg,170
2022-01-26,PROD_006,Paracetamol 500mg,148
2022-01-26,PROD_007,Aspirine 500mg,97
2022-01-26,PROD_008,Strepsils Miel Citron,143
2022-01-26,PROD_009,Humex Rhume,214
2022-01-26,PROD_010,Actifed Rhume,90
2022-01-27,PROD_001,Efferalgan 1000mg,95
2022-01-27,PROD_002,Doliprane 1000mg,115
2022-01-27,PROD_003,Spasfon Lyoc 80mg,140
2022-01-27,PROD_004,Smecta 3g,192
2022-01-27,PROD_005,Ibuprofene 400mg,209
2022-01-27,PROD_006,Paracetamol 500mg,185
2022-01-27,PROD_007,Aspirine 500mg,92
2022-01-27,PROD_008,Strepsils Miel Citron,113
2022-01-27,PROD_009,Humex Rhume,181
2022-01-27,PROD_010,Actifed Rhume,102
2022-01-28,PROD_001,Efferalgan 1000mg,86
2022-01-28,PROD_002,Doliprane 1000mg,115
2022-01-28,PROD_003,Spasfon Lyoc 80mg,159
2022-01-28,PROD_004,Smecta 3g,188
2022-01-28,PROD_005,Ibuprofene 400mg,185
2022-01-28,PROD_006,Paracetamol 500mg,141
2022-01-28,PROD_007,Aspirine 500mg,106
2022-01-28,PROD_008,Strepsils Miel Citron,144
2022-01-28,PROD_009,Humex Rhume,208
2022-01-28,PROD_010,Actifed Rhume,84
2022-01-29,PROD_001,Efferalgan 1000mg,52
2022-01-29,PROD_002,Doliprane 1000mg,102
2022-01-29,PROD_003,Spasfon Lyoc 80mg,103
2022-01-29,PROD_004,Smecta 3g,136
2022-01-29,PROD_005,Ibuprofene 400mg,121
2022-01-29,PROD_006,Paracetamol 500mg,117
2022-01-29,PROD_007,Aspirine 500mg,76
2022-01-29,PROD_008,Strepsils Miel Citron,86
2022-01-29,PROD_009,Humex Rhume,127
2022-01-29,PROD_010,Actifed Rhume,81
2022-01-30,PROD_001,Efferalgan 1000mg,55
2022-01-30,PROD_002,Doliprane 1000mg,98
2022-01-30,PROD_003,Spasfon Lyoc 80mg,83
2022-01-30,PROD_004,Smecta 3g,137
2022-01-30,PROD_005,Ibuprofene 400mg,147
2022-01-30,PROD_006,Paracetamol 500mg,125
2022-01-30,PROD_007,Aspirine 500mg,57
2022-01-30,PROD_008,Strepsils Miel Citron,97
2022-01-30,PROD_009,Humex Rhume,138
2022-01-30,PROD_010,Actifed Rhume,70
2022-01-31,PROD_001,Efferalgan 1000mg,78
2022-01-31,PROD_002,Doliprane 1000mg,147
2022-01-31,PROD_003,Spasfon Lyoc 80mg,124
2022-01-31,PROD_004,Smecta 3g,158
2022-01-31,PROD_005,Ibuprofene 400mg,205
2022-01-31,PROD_006,Paracetamol 500mg,144
2022-01-31,PROD_007,Aspirine 500mg,111
2022-01-31,PROD_008,Strepsils Miel Citron,109
2022-01-31,PROD_009,Humex Rhume,194
2022-01-31,PROD_010,Actifed Rhume,113
2022-02-01,PROD_001,Efferalgan 1000mg,103
2022-02-01,PROD_002,Doliprane 1000mg,123
2022-02-01,PROD_003,Spasfon Lyoc 80mg,135
2022-02-01,PROD_004,Smecta 3g,179
2022-02-01,PROD_005,Ibuprofene 400mg,244
2022-02-01,PROD_006,Paracetamol 500mg,171
2022-02-01,PROD_007,Aspirine 500mg,111
2022-02-01,PROD_008,Strepsils Miel Citron,109
2022-02-01,PROD_009,Humex Rhume,236
2022-02-01,PROD_010,Actifed Rhume,108
2022-02-02,PROD_001,Efferalgan 1000mg,89
2022-02-02,PROD_002,Doliprane 1000mg,139
2022-02-02,PROD_003,Spasfon Lyoc 80mg,168
2022-02-02,PROD_004,Smecta 3g,184
2022-02-02,PROD_005,Ibuprofene 400mg,181
2022-02-02,PROD_006,Paracetamol 500mg,150
2022-02-02,PROD_007,Aspirine 500mg,114
2022-02-02,PROD_008,Strepsils Miel Citron,127
2022-02-02,PROD_009,Humex Rhume,196
2022-02-02,PROD_010,Actifed Rhume,122
2022-02-03,PROD_001,Efferalgan 1000mg,84
2022-02-03,PROD_002,Doliprane 1000mg,138
2022-02-03,PROD_003,Spasfon Lyoc 80mg,119
2022-02-03,PROD_004,Smecta 3g,186
2022-02-03,PROD_005,Ibuprofene 400mg,237
2022-02-03,PROD_006,Paracetamol 500mg,175
2022-02-03,PROD_007,Aspirine 500mg,91
2022-02-03,PROD_008,Strepsils Miel Citron,138
2022-02-03,PROD_009,Humex Rhume,270
2022-02-03,PROD_010,Actifed Rhume,116
2022-02-04,PROD_001,Efferalgan 1000mg,100
2022-02-04,PROD_002,Doliprane 1000mg,131
2022-02-04,PROD_003,Spasfon Lyoc 80mg,149
2022-02-04,PROD_004,Smecta 3g,162
2022-02-04,PROD_005,Ibuprofene 400mg,194
2022-02-04,PROD_006,Paracetamol 500mg,167
2022-02-04,PROD_007,Aspirine 500mg,107
2022-02-04,PROD_008,Strepsils Miel Citron,137
2022-02-04,PROD_009,Humex Rhume,245
2022-02-04,PROD_010,Actifed Rhume,122
2022-02-05,PROD_001,Efferalgan 1000mg,65
2022-02-05,PROD_002,Doliprane 1000mg,82
2022-02-05,PROD_003,Spasfon Lyoc 80mg,94
2022-02-05,PROD_004,Smecta 3g,122
2022-02-05,PROD_005,Ibuprofene 400mg,142
2022-02-05,PROD_006,Paracetamol 500mg,117
2022-02-05,PROD_007,Aspirine 500mg,69
2022-02-05,PROD_008,Strepsils Miel Citron,80
2022-02-05,PROD_009,Humex Rhume,150
2022-02-05,PROD_010,Actifed Rhume,91
2022-02-06,PROD_001,Efferalgan 1000mg,69
2022-02-06,PROD_002,Doliprane 1000mg,119
2022-02-06,PROD_003,Spasfon Lyoc 80mg,102
2022-02-06,PROD_004,Smecta 3g,140
2022-02-06,PROD_005,Ibuprofene 400mg,146
2022-02-06,PROD_006,Paracetamol 500mg,127
2022-02-06,PROD_007,Aspirine 500mg,73
2022-02-06,PROD_008,Strepsils Miel Citron,86
2022-02-06,PROD_009,Humex Rhume,133
2022-02-06,PROD_010,Actifed Rhume,63
2022-02-07,PROD_001,Efferalgan 1000mg,86
2022-02-07,PROD_002,Doliprane 1000mg,128
2022-02-07,PROD_003,Spasfon Lyoc 80mg,141
2022-02-07,PROD_004,Smecta 3g,166
2022-02-07,PROD_005,Ibuprofene 400mg,208
2022-02-07,PROD_006,Paracetamol 500mg,190
2022-02-07,PROD_007,Aspirine 500mg,118
2022-02-07,PROD_008,Strepsils Miel Citron,112
2022-02-07,PROD_009,Humex Rhume,257
2022-02-07,PROD_010,Actifed Rhume,95
2022-02-08,PROD_001,Efferalgan 1000mg,113
2022-02-08,PROD_002,Doliprane 1000mg,161
2022-02-08,PROD_003,Spasfon Lyoc 80mg,145
2022-02-08,PROD_004,Smecta 3g,204
2022-02-08,PROD_005,Ibuprofene 400mg,245
2022-02-08,PROD_006,Paracetamol 500mg,216
2022-02-08,PROD_007,Aspirine 500mg,82
2022-02-08,PROD_008,Strepsils Miel Citron,120
2022-02-08,PROD_009,Humex Rhume,240
2022-02-08,PROD_010,Actifed Rhume,117
2022-02-09,PROD_001,Efferalgan 1000mg,107
2022-02-09,PROD_002,Doliprane 1000mg,148
2022-02-09,PROD_003,Spasfon Lyoc 80mg,167
2022-02-09,PROD_004,Smecta 3g,190
2022-02-09,PROD_005,Ibuprofene 400mg,210
2022-02-09,PROD_006,Paracetamol 500mg,218
2022-02-09,PROD_007,Aspirine 500mg,104
2022-02-09,PROD_008,Strepsils Miel Citron,133
2022-02-09,PROD_009,Humex Rhume,193
2022-02-09,PROD_010,Actifed Rhume,109
2022-02-10,PROD_001,Efferalgan 1000mg,102
2022-02-10,PROD_002,Doliprane 1000mg,167
2022-02-10,PROD_003,Spasfon Lyoc 80mg,145
2022-02-10,PROD_004,Smecta 3g,203
2022-02-10,PROD_005,Ibuprofene 400mg,235
2022-02-10,PROD_006,Paracetamol 500mg,202
2022-02-10,PROD_007,Aspirine 500mg,91
2022-02-10,PROD_008,Strepsils Miel Citron,133
2022-02-10,PROD_009,Humex Rhume,221
2022-02-10,PROD_010,Actifed Rhume,112
2022-02-11,PROD_001,Efferalgan 1000mg,111
2022-02-11,PROD_002,Doliprane 1000mg,160
2022-02-11,PROD_003,Spasfon Lyoc 80mg,143
2022-02-11,PROD_004,Smecta 3g,194
2022-02-11,PROD_005,Ibuprofene 400mg,186
2022-02-11,PROD_006,Paracetamol 500mg,181
2022-02-11,PROD_007,Aspirine 500mg,106
2022-02-11,PROD_008,Strepsils Miel Citron,124
2022-02-11,PROD_009,Humex Rhume,234
2022-02-11,PROD_010,Actifed Rhume,93
2022-02-12,PROD_001,Efferalgan 1000mg,54
2022-02-12,PROD_002,Doliprane 1000mg,115
2022-02-12,PROD_003,Spasfon Lyoc 80mg,108
2022-02-12,PROD_004,Smecta 3g,105
2022-02-12,PROD_005,Ibuprofene 400mg,166
2022-02-12,PROD_006,Paracetamol 500mg,129
2022-02-12,PROD_007,Aspirine 500mg,72
2022-02-12,PROD_008,Strepsils Miel Citron,108
2022-02-12,PROD_009,Humex Rhume,158
2022-02-12,PROD_010,Actifed Rhume,70
2022-02-13,PROD_001,Efferalgan 1000mg,78
2022-02-13,PROD_002,Doliprane 1000mg,101
2022-02-13,PROD_003,Spasfon Lyoc 80mg,118
2022-02-13,PROD_004,Smecta 3g,147
2022-02-13,PROD_005,Ibuprofene 400mg,152
2022-02-13,PROD_006,Paracetamol 500mg,124
2022-02-13,PROD_007,Aspirine 500mg,83
2022-02-13,PROD_008,Strepsils Miel Citron,78
2022-02-13,PROD_009,Humex Rhume,156
2022-02-13,PROD_010,Actifed Rhume,73
2022-02-14,PROD_001,Efferalgan 1000mg,84
2022-02-14,PROD_002,Doliprane 1000mg,141
2022-02-14,PROD_003,Spasfon Lyoc 80mg,118
2022-02-14,PROD_004,Smecta 3g,155
2022-02-14,PROD_005,Ibuprofene 400mg,239
2022-02-14,PROD_006,Paracetamol 500mg,161
2022-02-14,PROD_007,Aspirine 500mg,108
2022-02-14,PROD_008,Strepsils Miel Citron,146
2022-02-14,PROD_009,Humex Rhume,222
2022-02-14,PROD_010,Actifed Rhume,118
2022-02-15,PROD_001,Efferalgan 1000mg,110
2022-02-15,PROD_002,Doliprane 1000mg,120
2022-02-15,PROD_003,Spasfon Lyoc 80mg,126
2022-02-15,PROD_004,Smecta 3g,185
2022-02-15,PROD_005,Ibuprofene 400mg,225
2022-02-15,PROD_006,Paracetamol 500mg,220
2022-02-15,PROD_007,Aspirine 500mg,83
2022-02-15,PROD_008,Strepsils Miel Citron,150
2022-02-15,PROD_009,Humex Rhume,232
2022-02-15,PROD_010,Actifed Rhume,109
2022-02-16,PROD_001,Efferalgan 1000mg,106
2022-02-16,PROD_002,Doliprane 1000mg,132
2022-02-16,PROD_003,Spasfon Lyoc 80mg,170
2022-02-16,PROD_004,Smecta 3g,149
2022-02-16,PROD_005,Ibuprofene 400mg,187
2022-02-16,PROD_006,Paracetamol 500mg,166
2022-02-16,PROD_007,Aspirine 500mg,85
2022-02-16,PROD_008,Strepsils Miel Citron,143
2022-02-16,PROD_009,Humex Rhume,237
2022-02-16,PROD_010,Actifed Rhume,109
2022-02-17,PROD_001,Efferalgan 1000mg,102
2022-02-17,PROD_002,Doliprane 1000mg,158
2022-02-17,PROD_003,Spasfon Lyoc 80mg,127
2022-02-17,PROD_004,Smecta 3g,189
2022-02-17,PROD_005,Ibuprofene 400mg,200
2022-02-17,PROD_006,Paracetamol 500mg,176
2022-02-17,PROD_007,Aspirine 500mg,112
2022-02-17,PROD_008,Strepsils Miel Citron,147
2022-02-17,PROD_009,Humex Rhume,273
2022-02-17,PROD_010,Actifed Rhume,100
2022-02-18,PROD_001,Efferalgan 1000mg,101
2022-02-18,PROD_002,Doliprane 1000mg,127
2022-02-18,PROD_003,Spasfon Lyoc 80mg,125
2022-02-18,PROD_004,Smecta 3g,180
2022-02-18,PROD_005,Ibuprofene 400mg,225
2022-02-18,PROD_006,Paracetamol 500mg,222
2022-02-18,PROD_007,Aspirine 500mg,120
2022-02-18,PROD_008,Strepsils Miel Citron,115
2022-02-18,PROD_009,Humex Rhume,185
2022-02-18,PROD_010,Actifed Rhume,117
2022-02-19,PROD_001,Efferalgan 1000mg,57
2022-02-19,PROD_002,Doliprane 1000mg,86
2022-02-19,PROD_003,Spasfon Lyoc 80mg,115
2022-02-19,PROD_004,Smecta 3g,102
2022-02-19,PROD_005,Ibuprofene 400mg,126
2022-02-19,PROD_006,Paracetamol 500mg,124
2022-02-19,PROD_007,Aspirine 500mg,79
2022-02-19,PROD_008,Strepsils Miel Citron,80
2022-02-19,PROD_009,Humex Rhume,139
2022-02-19,PROD_010,Actifed Rhume,72
2022-02-20,PROD_001,Efferalgan 1000mg,60
2022-02-20,PROD_002,Doliprane 1000mg,97
2022-02-20,PROD_003,Spasfon Lyoc 80mg,114
2022-02-20,PROD_004,Smecta 3g,99
2022-02-20,PROD_005,Ibuprofene 400mg,147
2022-02-20,PROD_006,Paracetamol 500mg,114
2022-02-20,PROD_007,Aspirine 500mg,66
2022-02-20,PROD_008,Strepsils Miel Citron,99
2022-02-20,PROD_009,Humex Rhume,140
2022-02-20,PROD_010,Actifed Rhume,89
2022-02-21,PROD_001,Efferalgan 1000mg,91
2022-02-21,PROD_002,Doliprane 1000mg,152
2022-02-21,PROD_003,Spasfon Lyoc 80mg,167
2022-02-21,PROD_004,Smecta 3g,155
2022-02-21,PROD_005,Ibuprofene 400mg,201
2022-02-21,PROD_006,Paracetamol 500mg,165
2022-02-21,PROD_007,Aspirine 500mg,102
2022-02-21,PROD_008,Strepsils Miel Citron,123
2022-02-21,PROD_009,Humex Rhume,234
2022-02-21,PROD_010,Actifed Rhume,108
2022-02-22,PROD_001,Efferalgan 1000mg,92
2022-02-22,PROD_002,Doliprane 1000mg,116
2022-02-22,PROD_003,Spasfon Lyoc 80mg,147
2022-02-22,PROD_004,Smecta 3g,158
2022-02-22,PROD_005,Ibuprofene 400mg,244
2022-02-22,PROD_006,Paracetamol 500mg,221
2022-02-22,PROD_007,Aspirine 500mg,105
2022-02-22,PROD_008,Strepsils Miel Citron,111
2022-02-22,PROD_009,Humex Rhume,190
2022-02-22,PROD_010,Actifed Rhume,113
2022-02-23,PROD_001,Efferalgan 1000mg,102
2022-02-23,PROD_002,Doliprane 1000mg,155
2022-02-23,PROD_003,Spasfon Lyoc 80mg,124
2022-02-23,PROD_004,Smecta 3g,191
2022-02-23,PROD_005,Ibuprofene 400mg,204
2022-02-23,PROD_006,Paracetamol 500mg,195
2022-02-23,PROD_007,Aspirine 500mg,105
2022-02-23,PROD_008,Strepsils Miel Citron,106
2022-02-23,PROD_009,Humex Rhume,224
2022-02-23,PROD_010,Actifed Rhume,120
2022-02-24,PROD_001,Efferalgan 1000mg,103
